Tick,Color,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,emotion_trials_pos.thisRepN,emotion_trials_pos.thisTrialN,emotion_trials_pos.thisN,emotion_trials_pos.thisIndex,emotion_trials_neg.thisRepN,emotion_trials_neg.thisTrialN,emotion_trials_neg.thisN,emotion_trials_neg.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_instructions_title.started,text_baseline_instructions_title.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,rating_baseline.response,rating_baseline.rt,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_stress_part_one.response,rating_stress_part_one.rt,text_part_one_evaluation_2.started,text_part_one_evaluation_2.stopped,text_word_item.started,text_word_item.stopped,key_resp_stress_part_two.keys,key_resp_stress_part_two.rt,key_resp_stress_part_two.started,key_resp_stress_part_two.stopped,rating_stress_part_two.response,rating_stress_part_two.rt,text_cooldown_title.started,text_cooldown_title.stopped,text_cooldown.started,text_cooldown.stopped,text_cooldown_instructions_title.started,text_cooldown_instructions_title.stopped,text_cooldown_measurement.started,text_cooldown_measurement.stopped,rating_cooldown.response,rating_cooldown.rt,text_emotion_screen_title.started,text_emotion_screen_title.stopped,text_emotion_screen.started,text_emotion_screen.stopped,text_emotion_screen_pos_title.started,text_emotion_screen_pos_title.stopped,text_emotion_pos_screen.started,text_emotion_pos_screen.stopped,image_emotion_meas_pos.started,image_emotion_meas_pos.stopped,image_emotion_evaluation_pos.started,image_emotion_evaluation_pos.stopped,rating_emotion_evaluation_pos.response,rating_emotion_evaluation_pos.rt,text_emotion_screen_neg_title.started,text_emotion_screen_neg_title.stopped,text_emotion_neg_screen.started,text_emotion_neg_screen.stopped,image_emotion_meas_neg.started,image_emotion_meas_neg.stopped,rating_emotion_evaluation_neg.response,rating_emotion_evaluation_neg.rt,text_ending_screen.started,text_ending_screen.stopped,text_ending_subtitle.started,text_ending_subtitle.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.370730700029526,None,30.637008500052616,35.63725080003496,46.137576500012074,None,1,5.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
2,green,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
3,green,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
4,green,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
5,green,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
6,green,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
7,green,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
8,green,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
9,green,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
10,green,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.33944270003121,None,1,3.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,red,green,red,green,right,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,88.33944270003121,None,107.04457320005167,None,right,1.445826900016982,107.04457320005167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.55726630002027,None,115.55726630002027,None,120.55416790000163,125.55408970004646,136.05439890001435,None,1,89.374,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,2070.0,baby suprise,.jpg,resources\pictures\Positive\2070.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.6193264000467,None,231.6193264000467,None,236.61771160003264,None,236.61771160003264,None,254.66014010005165,None,264.6363718000357,None,4,2.898,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,8470.0,gymnist success,.jpg,resources\pictures\Positive\8470.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,1,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.59136700001545,None,277.5856553000049,None,3,1.901,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,2304.0,smiling girl,.jpg,resources\pictures\Positive\2304.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",,,,,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.5447568000527,None,289.5505049000494,None,3,2.229,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,1811.0,group of apes,.jpg,resources\pictures\Positive\1811.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.84104020002997,None,301.8358372000512,None,3,1.902,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,2154.0,father and son,.jpg,resources\pictures\Positive\2154.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.7958554000361,None,313.8002408000175,None,3,2.792,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,1460.0,tiger cub,.jpg,resources\pictures\Positive\1460.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.65876600000774,None,326.6607224000036,None,3,1.599,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,8497.0,family on rollercoaster,.jpg,resources\pictures\Positive\8497.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,6,6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.3210258000181,None,338.3167209000094,None,3,2.255,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,5831.0,father and son beach,.jpg,resources\pictures\Positive\5831.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,7,7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.6376799000427,None,350.6355048000114,None,3,2.541,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,8501.0,money,.jpg,resources\pictures\Positive\8501.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,8,8,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.2478476000251,None,363.23998900002334,None,3,1.833,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,5982.0,clouds 2,.jpg,resources\pictures\Positive\5982.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,9,9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.13129500002833,None,375.1332656000159,None,3,1.396,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,5833.0,sunny beach,.jpg,resources\pictures\Positive\5833.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,10,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.5929039000184,None,386.588957400003,None,3,1.608,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,2550.0,happy elderly couple,.jpg,resources\pictures\Positive\2550.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,11,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.26167259999784,None,398.25761110003805,None,3,2.147,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,2339.0,football group,.jpg,resources\pictures\Positive\2339.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",,,,,,,,,0,12,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.4644352000323,None,410.45975550002186,None,3,6.257,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,1750.0,rabit,.jpg,resources\pictures\Positive\1750.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,13,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.7811615000246,None,426.77531799999997,None,3,1.504,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,1710.0,three dogs,.jpg,resources\pictures\Positive\1710.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.3465696000494,None,438.34395070001483,None,3,2.645,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,5760.0,flowers,.jpg,resources\pictures\Positive\5760.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,15,15,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.0546091000433,None,451.04765210003825,None,3,4.712,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,2057.0,sitting baby,.jpg,resources\pictures\Positive\2057.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,16,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.82467320002615,None,465.8156826000195,None,3,1.86,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,8330.0,women and trophy,.jpg,resources\pictures\Positive\8330.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,17,17,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.7371866000467,None,477.73466050002025,None,3,1.357,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,7502.0,disney land,.jpg,resources\pictures\Positive\7502.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,18,18,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.1542509000283,None,489.15939080005046,None,3,1.496,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,7325.0,girl and watermelon,.jpg,resources\pictures\Positive\7325.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,19,19,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.7228109000134,None,500.71187940001255,None,3,2.296,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,1463.0,group of cats,.jpg,resources\pictures\Positive\1463.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,20,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.0727048999979,None,513.0684551000013,None,3,1.504,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,2391.0,boy and grandpa fishing,.jpg,resources\pictures\Positive\2391.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,21,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.632381100033,None,524.6279691000236,None,3,1.694,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,8380.0,team medals,.jpg,resources\pictures\Positive\8380.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,22,22,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.3847611000529,None,536.3874604000011,None,3,1.414,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
