Tick,Color,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,emotion_trials_pos.thisRepN,emotion_trials_pos.thisTrialN,emotion_trials_pos.thisN,emotion_trials_pos.thisIndex,emotion_trials_neg.thisRepN,emotion_trials_neg.thisTrialN,emotion_trials_neg.thisN,emotion_trials_neg.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_instructions_title.started,text_baseline_instructions_title.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,rating_baseline.response,rating_baseline.rt,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_stress_part_one.response,rating_stress_part_one.rt,text_part_one_evaluation_2.started,text_part_one_evaluation_2.stopped,text_word_item.started,text_word_item.stopped,key_resp_stress_part_two.keys,key_resp_stress_part_two.rt,key_resp_stress_part_two.started,key_resp_stress_part_two.stopped,rating_stress_part_two.response,rating_stress_part_two.rt,text_cooldown_title.started,text_cooldown_title.stopped,text_cooldown.started,text_cooldown.stopped,text_cooldown_instructions_title.started,text_cooldown_instructions_title.stopped,text_cooldown_measurement.started,text_cooldown_measurement.stopped,rating_cooldown.response,rating_cooldown.rt,text_emotion_screen_title.started,text_emotion_screen_title.stopped,text_emotion_screen.started,text_emotion_screen.stopped,text_emotion_screen_pos_title.started,text_emotion_screen_pos_title.stopped,text_emotion_pos_screen.started,text_emotion_pos_screen.stopped,image_emotion_meas_pos.started,image_emotion_meas_pos.stopped,image_emotion_evaluation_pos.started,image_emotion_evaluation_pos.stopped,rating_emotion_evaluation_pos.response,rating_emotion_evaluation_pos.rt,text_emotion_screen_neg_title.started,text_emotion_screen_neg_title.stopped,text_emotion_neg_screen.started,text_emotion_neg_screen.stopped,image_emotion_meas_neg.started,image_emotion_meas_neg.stopped,rating_emotion_evaluation_neg.response,rating_emotion_evaluation_neg.rt,text_ending_screen.started,text_ending_screen.stopped,text_ending_subtitle.started,text_ending_subtitle.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,resources\pictures\,Positive\,2091.0,children and kitten,.jpg,resources\pictures\Positive\2091.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,23,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.8616036000312,None,547.8587982000317,None,3,1.713,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,2040.0,baby on belly,.jpg,resources\pictures\Positive\2040.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,24,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.6944045000128,None,559.6353923000279,None,3,1.377,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,4626.0,marriage scene,.jpg,resources\pictures\Positive\4626.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,25,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.0774854000192,None,571.0663163000136,None,3,2.964,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,2332.0,girl and dog,.jpg,resources\pictures\Positive\2332.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",,,,,,,,,0,26,26,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0832916000509,None,584.0768854000489,None,3,24.327,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,5780.0,lakeview,.jpg,resources\pictures\Positive\5780.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,27,27,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.4770874000387,None,618.4925793000148,None,3,2.936,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,2341.0,children and kitten,.jpg,resources\pictures\Positive\2341.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,28,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.4908714000485,None,631.4912593000336,None,3,2.852,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,1441.0,polar bears,.jpg,resources\pictures\Positive\1441.jpg,800,600,2.1999999999999997,1,"(2.2, 1)",,,,,,,,,0,29,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.3927008000319,None,644.3940840000287,None,3,2.844,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,5891.0,clouds 1,.jpg,resources\pictures\Positive\5891.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,30,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.307472000015,None,657.3043382000178,None,3,3.289,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,2655.0,boy and dog,.jpg,resources\pictures\Positive\2655.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,31,31,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.6554678000393,None,670.6540502000134,None,3,10.003,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,2311.0,mother daughter,.jpg,resources\pictures\Positive\2311.jpg,1024,768,1.7999999999999998,1,"(1.8, 1)",,,,,,,,,0,32,32,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.7233345000423,None,690.7217665000353,None,3,9.08,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,5910.0,fireworks,.jpg,resources\pictures\Positive\5910.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,33,33,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.8740769000142,None,709.8675435000332,None,3,32.247,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Positive\,1942.0,group of turtles,.jpg,resources\pictures\Positive\1942.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,0,34,34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.1907285000198,None,752.1735820000176,None,3,1.482,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.7702873999951,None,753.7702873999951,None,758.764662600006,763.7649856000207,,,1,3.327,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,2683.0,riot scene 1,.jpg,resources\pictures\Negative\2683.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.1007553000236,None,779.1007553000236,None,787.1313930000179,None,2,1.791,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,5972.0,tornado 2,.jpg,resources\pictures\Negative\5972.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.9684314000187,None,2,2.356,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,2694.0,prison scene,.jpg,resources\pictures\Negative\2694.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811.3899516999954,None,2,3.087,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,9417.0,getting a ticket,.jpg,resources\pictures\Negative\9417.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,3,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.5326627000468,None,2,0.956,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,7590.0,traffic jam,.jpg,resources\pictures\Negative\7590.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,4,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835.5466149999993,None,2,2.148,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,1301.0, dog threat 2,.jpg,resources\pictures\Negative\1301.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.7560349000269,None,2,1.904,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,2375.1,famine,.jpg,resources\pictures\Negative\2375.1.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.7134946000297,None,2,1.792,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,8185.0,skydiving,.jpg,resources\pictures\Negative\8185.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,7,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871.5701451000059,None,2,3.275,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,5971.0,tornado 1,.jpg,resources\pictures\Negative\5971.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.9052095000516,None,2,2.921,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,2399.0,headache,.jpg,resources\pictures\Negative\2399.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897.880940300005,None,2,3.549,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,9280.0,pollution,.jpg,resources\pictures\Negative\9280.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,10,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.4893788000336,None,2,2.482,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,2410.0,math problem,.jpg,resources\pictures\Negative\2410.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924.0296778000193,None,2,6.381,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,9584.0,dentist,.jpg,resources\pictures\Negative\9584.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,12,12,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.4685137000051,None,2,2.155,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,1240.0,spider,.jpg,resources\pictures\Negative\1240.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.6914167000214,None,2,2.694,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,1112.0,snake at feet,.jpg,resources\pictures\Negative\1112.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965.429974800034,None,2,2.162,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,2691.0,riot scene 2,.jpg,resources\pictures\Negative\2691.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977.6577358000213,None,3,9.808,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,2278.0,poor children,.jpg,resources\pictures\Negative\2278.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,16,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.5345145000028,None,3,2.766,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,9341.0,child in garbage river,.jpg,resources\pictures\Negative\9341.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,17,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.3726756999968,None,2,6.146,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,7380.0,cockroaches food,.jpg,resources\pictures\Negative\7380.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.5770514000324,None,2,1.873,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,7640.0,risky work place,.jpg,resources\pictures\Negative\7640.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,19,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038.508951900003,None,2,2.796,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,8400.0,rafting,.jpg,resources\pictures\Negative\8400.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,20,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051.371584700013,None,2,2.315,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,2276.0,child crying,.jpg,resources\pictures\Negative\2276.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,21,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063.7365476000123,None,2,1.794,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,7211.0,5 min before midnight,.jpg,resources\pictures\Negative\7211.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,22,22,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.602286200039,None,2,4.901,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,2688.0,poacher,.jpg,resources\pictures\Negative\2688.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,23,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090.5560754000326,None,2,1.961,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,8179.0,bungee jump,.jpg,resources\pictures\Negative\8179.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,24,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102.5813884000527,None,2,2.274,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,1300.0,dog threat 1,.jpg,resources\pictures\Negative\1300.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,25,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114.9080181000172,None,2,3.151,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,2221.0,judge,.jpg,resources\pictures\Negative\2221.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,26,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128.1138668000349,None,2,1.61,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,resources\pictures\,Negative\,2206.0,fingerprints,.jpg,resources\pictures\Negative\2206.jpg,1024,768,1.9,1,"(1.9, 1)",,,,,,,,,,,,,0,27,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139.781189900008,None,2,2.393,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.3614306999953,None,1152.3614306999953,None,1157.3703851000173,1162.370732200041,1172.8706956999958,None,2,4.076,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_20_1050,MTEC_paradigm,3.1.5,47.97384849316712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184.144456500013,None,1184.144456500013,None,,,,,,,
